Date, Data
2015-01-01, 56.2376
2015-01-02, 56.2376
2015-01-03, 56.2376
2015-01-04, 56.2376
2015-01-05, 56.2376
2015-01-06, 56.2376
2015-01-07, 56.2376
2015-01-08, 56.2376
2015-01-09, 56.2376
2015-01-10, 56.2376
2015-01-11, 56.2376
2015-01-12, 56.2376
2015-01-13, 62.7363
2015-01-14, 64.8425
2015-01-15, 66.0983
2015-01-16, 64.8337
2015-01-17, 65.1738
2015-01-18, 65.1738
2015-01-19, 65.1738
2015-01-20, 64.9732
2015-01-21, 64.9862
2015-01-22, 65.5558
2015-01-23, 65.4000
2015-01-24, 63.3930
2015-01-25, 63.3930
2015-01-26, 63.3930
2015-01-27, 65.5937
2015-01-28, 67.8153
2015-01-29, 67.1506
2015-01-30, 68.7303
2015-01-31, 68.9291
2015-02-01, 68.9291
2015-02-02, 68.9291
2015-02-03, 69.6640
2015-02-04, 67.7727
2015-02-05, 65.4470
2015-02-06, 68.6113
2015-02-07, 66.0432
2015-02-08, 66.0432
2015-02-09, 66.0432
2015-02-10, 65.7817
2015-02-11, 65.4469
2015-02-12, 66.0585
2015-02-13, 66.0994
2015-02-14, 65.0862
2015-02-15, 65.0862
2015-02-16, 65.0862
2015-02-17, 62.6632
2015-02-18, 62.8353
2015-02-19, 62.4001
2015-02-20, 62.1307
2015-02-21, 61.7235
2015-02-22, 61.7235
2015-02-23, 61.7235
2015-02-24, 61.7235
2015-02-25, 63.5083
2015-02-26, 62.5906
2015-02-27, 60.7109
2015-02-28, 61.2718
2015-03-01, 61.2718
2015-03-02, 61.2718
2015-03-03, 62.2248
2015-03-04, 62.3649
2015-03-05, 61.8745
2015-03-06, 61.8457
2015-03-07, 59.9938
2015-03-08, 59.9938
2015-03-09, 59.9938
2015-03-10, 59.9938
2015-03-11, 60.6649
2015-03-12, 62.6797
2015-03-13, 60.9595
2015-03-14, 61.3167
2015-03-15, 61.3167
2015-03-16, 61.3167
2015-03-17, 62.1497
2015-03-18, 61.7510
2015-03-19, 61.3483
2015-03-20, 59.8308
2015-03-21, 60.0341
2015-03-22, 60.0341
2015-03-23, 60.0341
2015-03-24, 59.4452
2015-03-25, 58.7710
2015-03-26, 57.3879
2015-03-27, 56.4271
2015-03-28, 57.7279
2015-03-29, 57.7279
2015-03-30, 57.7279
2015-03-31, 58.4643
2015-04-01, 57.6500
2015-04-02, 58.3536
2015-04-03, 56.9902
2015-04-04, 56.7534
2015-04-05, 56.7534
2015-04-06, 56.7534
2015-04-07, 56.5161
2015-04-08, 55.3328
2015-04-09, 54.0270
2015-04-10, 52.5424
2015-04-11, 51.0678
2015-04-12, 51.0678
2015-04-13, 51.0678
2015-04-14, 52.4220
2015-04-15, 51.9749
2015-04-16, 50.5033
2015-04-17, 49.6749
2015-04-18, 50.5295
2015-04-19, 50.5295
2015-04-20, 50.5295
2015-04-21, 51.5207
2015-04-22, 53.9728
2015-04-23, 53.6555
2015-04-24, 51.6011
2015-04-25, 50.2473
2015-04-26, 50.2473
2015-04-27, 50.2473
2015-04-28, 51.4690
2015-04-29, 52.3041
2015-04-30, 51.7029
2015-05-01, 51.1388
2015-05-02, 51.1388
2015-05-03, 51.1388
2015-05-04, 51.1388
2015-05-05, 51.1388
2015-05-06, 51.7574
2015-05-07, 49.9816
2015-05-08, 50.3615
2015-05-09, 50.7511
2015-05-10, 50.7511
2015-05-11, 50.7511
2015-05-12, 50.7511
2015-05-13, 50.9140
2015-05-14, 49.5366
2015-05-15, 50.0774
2015-05-16, 50.0115
2015-05-17, 50.0115
2015-05-18, 50.0115
2015-05-19, 49.2175
2015-05-20, 49.1777
2015-05-21, 49.7919
2015-05-22, 49.9204
2015-05-23, 49.7901
2015-05-24, 49.7901
2015-05-25, 49.7901
2015-05-26, 49.8613
2015-05-27, 50.3223
2015-05-28, 51.0178
2015-05-29, 52.2907
2015-05-30, 52.9716
2015-05-31, 52.9716
2015-06-01, 52.9716
2015-06-02, 52.8213
2015-06-03, 53.4413
2015-06-04, 53.0590
2015-06-05, 54.9908
2015-06-06, 56.2463
2015-06-07, 56.2463
2015-06-08, 56.2463
2015-06-09, 56.0435
2015-06-10, 55.9100
2015-06-11, 54.8219
2015-06-12, 54.5285
2015-06-13, 54.5285
2015-06-14, 54.5285
2015-06-15, 54.5285
2015-06-16, 55.2679
2015-06-17, 54.0409
2015-06-18, 53.8999
2015-06-19, 53.3301
2015-06-20, 53.8006
2015-06-21, 53.8006
2015-06-22, 53.8006
2015-06-23, 53.5569
2015-06-24, 54.2081
2015-06-25, 54.0746
2015-06-26, 54.6026
2015-06-27, 54.8126
2015-06-28, 54.8126
2015-06-29, 54.8126
2015-06-30, 55.5240
2015-07-01, 55.8413
2015-07-02, 55.4756
2015-07-03, 55.6555
2015-07-04, 55.6049
2015-07-05, 55.6049
2015-07-06, 55.6049
2015-07-07, 56.4112
2015-07-08, 57.2192
2015-07-09, 57.2174
2015-07-10, 56.9803
2015-07-11, 56.6685
2015-07-12, 56.6685
2015-07-13, 56.6685
2015-07-14, 56.6079
2015-07-15, 56.9774
2015-07-16, 56.6642
2015-07-17, 56.9504
2015-07-18, 56.8423
2015-07-19, 56.8423
2015-07-20, 56.8423
2015-07-21, 56.8336
2015-07-22, 57.0025
2015-07-23, 57.0232
2015-07-24, 57.3578
2015-07-25, 58.0374
2015-07-26, 58.0374
2015-07-27, 58.0374
2015-07-28, 58.7816
2015-07-29, 60.2231
2015-07-30, 59.7665
2015-07-31, 58.9906
2015-08-01, 60.3458
2015-08-02, 60.3458
2015-08-03, 60.3458
2015-08-04, 62.4677
2015-08-05, 62.9182
2015-08-06, 62.7184
2015-08-07, 63.8644
2015-08-08, 63.8399
2015-08-09, 63.8399
2015-08-10, 63.8399
2015-08-11, 64.4977
2015-08-12, 63.2098
2015-08-13, 65.0169
2015-08-14, 63.9988
2015-08-15, 64.9363
2015-08-16, 64.9363
2015-08-17, 64.9363
2015-08-18, 65.5034
2015-08-19, 65.8289
2015-08-20, 65.7222
2015-08-21, 66.9608
2015-08-22, 68.1216
2015-08-23, 68.1216
2015-08-24, 68.1216
2015-08-25, 70.7465
2015-08-26, 69.9461
2015-08-27, 69.3142
2015-08-28, 67.4473
2015-08-29, 66.4779
2015-08-30, 66.4779
2015-08-31, 66.4779
2015-09-01, 66.7152
2015-09-02, 65.3495
2015-09-03, 66.6756
2015-09-04, 67.0102
2015-09-05, 67.6850
2015-09-06, 67.6850
2015-09-07, 67.6850
2015-09-08, 68.4864
2015-09-09, 68.7932
2015-09-10, 67.6219
